Product Name,Prices,Description
NL27WZ16,$0.06, Dual Buffer 
NL27WZ17,$0.04, Dual Non-Inverting Buffer withSchmitt Trigger Input 
NL17SZ10,0, 3-Input NAND Gate 
74AC04,$0.1232, Hex Inverter 
74AC14,$0.1331, Hex Inverter with Schmitt Trigger Input 
74AC240,$0.35, Octal Buffer/Line Driver with 3-STATE Outputs 
74AC244,$0.2476, Octal Buffer/Line Driver with 3-STATE Outputs 
74AC540,$0.3191, Octal Buffer/Line Driver with 3-STATE Outputs 
74AC541,$0.2204, Octal Buffer/Line Driver with 3-STATE Outputs 
74ACT04,$0.1431, Hex Inverter 
74ACT14,$0.146, Hex Inverter with Schmitt Trigger Input 
74ACT240,$0.2891, Octal Buffer/Line Driver with 3-STATE Outputs 
74ACT244,$0.2224, Octal Buffer/Line Driver with 3-STATE Outputs 
74ACT541,$0.258, Octal Buffer/Line Driver with 3-STATE Outputs 
74ALVC162244,$0.8756, Low Voltage 16-Bit Buffer/Line Driver with 3.6V Tolerant Inputs and Outputs and 26 Ohm Series Resistor in Outputs 
74ALVC16244,$0.935, Low Voltage 1.8/2.5/3.3V 16-Bit Buffer 
74LCX04,$0.114, Low Voltage Hex Inverter with 5 V Tolerant Inputs 
74LCX06,$0.1599, Low Voltage Hex Inverter/Buffer with Open Drain Outputs 
74LCX07,$0.1171, Low Voltage Hex Buffer with Open Drain Outputs 
74LCX08,$0.1431, Low Voltage Quad 2-Input AND Gate with 5V Tolerant Inputs 
74LCX11,$0.1524, Low Voltage Triple 3-Input AND Gate with 5V Tolerant Inputs 
74LCX125,$0.1052, Low Voltage Quad Buffer with 5V Tolerant Inputs and Outputs 
74LCX126,$0.1524, Low Voltage Quad Buffer with 5V tolerant Inputs and Outputs 
74LCX14,$0.1493, Low Voltage Hex Inverter with 5V Tolerant Schmitt Trigger Inputs 
74LCX162244,$0.5368, Low Voltage 16-Bit Buffer/Line Driver with 26Ω Series Resistors in Outputs 
74LCX16240,$0.5664, Low Voltage 16-Bit Inverting Buffer/Line Driver with 5V Tolerant Inputs/Outputs 
74LCX16244,$0.5, Low Voltage 16-Bit Buffer/Line Driver with 5V Tolerant Inputs and Outputs 
74LCX2244,$0.2324, Low Voltage Buffer/Line Driver with 5V Tolerant Inputs and Outputs with 26 Ohm Series Resistors in the Outputs 
74LCX240,$0.2315, Low Voltage Octal Buffer/Line Driver with 5V Tolerant Inputs and Outputs 
74LCX244,$0.1667, Low Voltage Buffer/Line Driver with 5V Tolerant Inputs and Outputs 
74LCX32,$0.14, Low Voltage Quad 2-Input OR Gate with 5V Tolerant Inputs 
74LCX540,$0.3832, Low Voltage Octal Buffer/Line Driver with 5V Tolerant Inputs and Outputs 
74LCX541,$0.25, Low Voltage Octal Buffer/Line Driver with 5V Tolerant Inputs and Outputs 
74LCX760,$0.2431, Low Voltage Buffer/Line Driver with 5V Tolerant Inputs and Open Drain Outputs 
74LCXH162244,$0.5368, Low Voltage 16-Bit Buffer/Line Driver with Bushold and 26 Ohm Series Resistors in Outputs 
74LCXH16244,$0.5531, Low Voltage 16-Bit Buffer/Line Driver with Bushold 
74LCXZ16244,$0.6004, Low Voltage 16-Bit Buffer/Line Driver with 5V Tolerant Inputs and Outputs 
74LVT162244,$0.6324, Low Voltage 16-Bit Buffer/Line Driver with 3-STATE Outputs and 25 Ohm Series Resistors in the Outputs 
74LVT2244,$0.3188, Low Voltage Octal Buffer/Line Driver with 3-STATE Outputs 
74LVT244,$0.3359, Low Voltage Octal Buffer/Line Driver with 3-STATE Outputs 
74LVTH125,$0.1585, Low Voltage Quad Buffer with 3-STATE Outputs 
74LVTH162244,$0.689, Low Voltage 16-Bit Buffer/Line Driver with 3-STATE Outputs and 25 Ohm Series Resistors in the Outputs 
74LVTH2244,$0.354, Low Voltage Octal Buffer/Line Driver with 3-STATE Outputs 
74LVTH240,$0.3248, Low Voltage Octal Buffer/Line Driver with 3-STATE Outputs 
74LVTH244,$0.3092, Low Voltage Octal Buffer/Line Driver with 3-STATE Outputs 
74LVX04,$0.1412, Low Voltage Hex Inverter 
74LVX125,$0.1252, Low Voltage Quad Buffer with 3-STATE Outputs 
74LVX14,$0.0985, Low Voltage Hex Inverter with Schmitt Trigger Input 
74LVX244,$0.1841, Low Voltage Octal Buffer/Line Driver with 3-STATE Outputs 
74LVX541,$0.2288, Low Voltage Octal Buffer/Line Driver with 3-STATE Outputs 
74VCX162244,$0.9786, Low Voltage 16-Bit Buffer/Line Driver with 3.6V Tolerant Inputs and Outputs and 26 Ohm Series Resistor in Outputs 
74VCX16244,$0.66," Low-Voltage 1.8/2.5/3.3 V 16-Bit Buffer With 3.6 V-Tolerant Inputs and Outputs (3-State, Non-Inverting) "
74VHC04,$0.1204, Hex Inverter 
74VHC125,$0.12, Quad Buffer with 3-STATE Outputs 
74VHC14,$0.1247, Hex Schmitt Inverter 
74VHC240,$0.3631, Octal Buffer/Line Driver with 3-STATE Outputs 
74VHC244,$0.1979, Octal Buffer/Line Driver with 3-STATE Outputs 
74VHC541,$0.2163, Octal Buffer/Line Driver with 3-STATE Outputs 
74VHCT04A,$0.1552, Hex Inverter 
74VHCT14A,$0.154, Hex Schmitt Inverter 
74VHCT240A,$0.2448, Octal Buffer/Line Driver with 3-STATE Outputs 
74VHCT244A,$0.2224, Octal Buffer/Line Driver with 3-STATE Outputs 
74VHCT245A,$0.2327, Octal Buffer/Line Driver with 3-STATE Outputs 
74VHCT541A,$0.3832, Octal Buffer/Line Driver with 3-STATE Outputs 
74VHCU04,$0.1428, Hex Inverter 
MC14049B,$0.1277, Hex Inverter 
MC14049UB,$0.1324, Hex Inverter 
MC14050B,$0.1277, Hex Buffer 
MC14503B,$0.1809," Hex Non-inverting Buffer, 3-State "
MC14572UB,$0.1873, Hex Gate; 4 Inverters; 1 NOR; 1 NAND 
MC74AC05,$0.2088, Hex Inverter Open-Drain 
MC74AC125,$0.1733, Quad Buffer with 3-State Outputs 
MC74AC14,$0.16, Hex Inverter with Schmitt Trigger Input 
MC74AC240,$0.2267," Octal Buffer/Line Driver, 3-State "
MC74AC244,$0.2267," Octal Buffer/Line Driver, 3-State "
MC74AC540,$0.2667, Octal Buffer/Line Driver with 3-State Outputs 
MC74AC541,$0.2667, Octal Buffer/Line Driver with 3-State Outputs 
MC74ACT05,$0.1467, Hex Inverter with Open-Drain Outputs 
MC74ACT125,$0.1333, Quad Buffer with 3-State Outputs 
MC74ACT14,$0.1467, Hex Inverter with Schmitt Trigger Input 
MC74ACT240,$0.2267," Octal Buffer/Line Driver, 3-State "
MC74ACT241,$0.2267," Octal Buffer/Line Driver, 3-State "
MC74ACT244,$0.1867," Octal Buffer/Line Driver, 3-State "
MC74ACT540,$0.24, Octal Buffer/Line Driver with 3-State Outputs 
MC74ACT541,$0.24, Octal Buffer/Line Driver with 3-State Outputs 
MC74HC04A,$0.12, Hex Inverter 
MC74HC05A,$0.104, Hex Inverter with Open Drain Outputs 
MC74HC125A,$0.12," Quad Non-inverting Buffer, 3-State "
MC74HC126A,$0.12," Quad Non-inverting Buffer, 3-State "
MC74HC14A,$0.116, Hex Inverter with Schmitt Trigger Input 
MC74HC1G14,$0.0213," Single Inverter, Schmitt Trigger Input "
MC74HC240A,$0.28," Octal Inverting Buffer/Line Driver/Line Receiver, 3-State "
MC74HC244A,$0.1867, Octal 3-State Non-Inverting Buffer/Line Driver/Line Receiver 
MC74HC365A,$0.116, Hex 3-State Non-inverting Buffer with Common Enables 
MC74HC367A,$0.18, Hex 3-State NonInverting Buffer with Separate 2-Bit and 4-Bit Sections 
MC74HC368A,$0.116," Hex buffer/line driver, 3-state, inverting  "
MC74HC540A,$0.3467, Octal 3-State Inverting Buffer/Line Driver/Line Receiver 
MC74HC541A,$0.1933, Octal 3-State Non-inverting Buffer/Line Driver/Line Receiver 
MC74HCT125A,$0.1," Quad Non-inverting Buffer with LSTTL Compatible Inputs, 3-State "
MC74HCT14A,$0.1067, Hex Inverter with Schmitt Trigger Input 
MC74HCT241A,$0.28, Octal 3-State Noninverting Buffer/Line Driver/Line Receiver with LSTTL-Compatible Inputs 
MC74HCT244A,$0.1867," Octal 3-State Non-Inverting Buffer/Line Driver/Line Receiver, TTL Level "
MC74HCT365A,$0.116," Hex buffer/line driver, 3-state, TTL "
MC74HCT366A,$0.18," Hex buffer/line driver, 3-state, inverting, TTL "
MC74HCT541A,$0.2267," Octal 3-State Non-inverting Buffer/Line Driver/Line Receiver, TTL Level "
MC74LCX04,$0.12, Low Voltage CMOS Hex Inverter 
MC74LCX06,$0.1867, Low Voltage CMOS Hex Inverter with Open Drain Outputs and 5V-Tolerant I/Os 
MC74LCX07,$0.1333, Low Voltage CMOS Hex Buffer with Open Drain Outputs and 5V-Tolerant Inputs 
MC74LCX125,$0.1467," Low Voltage Quad Non-Inverting Buffer, 3-State "
MC74LCX16240,$0.8, Low Voltage 16-Bit CMOS Buffer 
MC74LCX16244,$0.4, Low Voltage 16-Bit CMOS Buffer 
MC74LCX240,$0.2667," Low Voltage Octal Inverting Buffer, 3-State "
MC74LCX244,$0.16," Octal Buffer, Non-Inverting, Low Voltage, 3-State "
MC74LCX540,$0.296, Low Voltage CMOS Octal Buffer Flow Through Pinout 
MC74LCX541,$0.2067, Low Voltage CMOS Octal Buffer Flow Through Pinout 
MC74LVX125,$0.1733," Quad Bus Buffer, 3-State "
MC74LVX240,$0.2473," Octal Inverting Bus Buffer, 3-State "
MC74LVX244,$0.2473," Octal Non-inverting Bus Buffer, 3-State "
MC74LVX50,$0.1467, Hex Buffer 
MC74LVX541,$0.2821, Octal Bus Buffer 
MC74VHC04,$0.1467, Hex Inverter 
MC74VHC125,$0.1733," Quad Bus Buffer, 3-State "
MC74VHC126,$0.1733," Quad Bus Buffer, 3-State "
MC74VHC1G04,$0.016, Single Inverter 
MC74VHC1G05,$0.016," Single Inverter, Open Drain "
MC74VHC1G07,$0.016," Single Non-Inverting Buffer, Open Drain "
MC74VHC1G125,$0.016," Single Non-Inverting Buffer, 3-State  "
MC74VHC1G126,$0.016," Single Non-Inverting Buffer, 3-State "
MC74VHC1G50,$0.016, Single Non-Inverting Buffer 
MC74VHC1GT125,$0.016," Single Non-Inverting Buffer, 3-State "
MC74VHC1GT126,$0.016," Single Non-Inverting Buffer, TTL Level "
MC74VHC1GT50,$0.016," Single Non-Inverting Buffer, TTL Level "
MC74VHC240,$0.2667," Octal Inverting Bus Buffer/Line Driver, 3-State Output "
MC74VHC244,$0.1867," Octal Non-inverting Bus Buffer, 3-State "
MC74VHC50,$0.1467, Hex Buffer 
MC74VHC540,$0.2515, Octal Bus Buffer 
MC74VHC541,$0.1733, Octal Bus Buffer 
MC74VHCT125A,$0.1467," Quad Bus Buffer, 3-State, TTL Level "
