Product Name,Prices,Description
NL27WZ16,$0.06,Dual Buffer
NL27WZ17,$0.04,Dual Non-Inverting Buffer withSchmitt Trigger Input
74AC240,$0.35,Octal Buffer/Line Driver with 3-STATE Outputs
74AC244,$0.2476,Octal Buffer/Line Driver with 3-STATE Outputs
74AC540,$0.3191,Octal Buffer/Line Driver with 3-STATE Outputs
74AC541,$0.2204,Octal Buffer/Line Driver with 3-STATE Outputs
74ACT240,$0.2891,Octal Buffer/Line Driver with 3-STATE Outputs
74ACT244,$0.2224,Octal Buffer/Line Driver with 3-STATE Outputs
74ACT541,$0.258,Octal Buffer/Line Driver with 3-STATE Outputs
74ALVC162244,$0.8756,Low Voltage 16-Bit Buffer/Line Driver with 3.6V Tolerant Inputs and Outputs and 26 Ohm Series Resistor in Outputs
74ALVC16244,$0.935,Low Voltage 1.8/2.5/3.3V 16-Bit Buffer
74LCX06,$0.1599,Low Voltage Hex Inverter/Buffer with Open Drain Outputs
74LCX07,$0.1171,Low Voltage Hex Buffer with Open Drain Outputs
74LCX125,$0.1052,Low Voltage Quad Buffer with 5V Tolerant Inputs and Outputs
74LCX126,$0.1524,Low Voltage Quad Buffer with 5V tolerant Inputs and Outputs
74LCX162244,$0.5368,Low Voltage 16-Bit Buffer/Line Driver with 26Ω Series Resistors in Outputs
74LCX16240,$0.5664,Low Voltage 16-Bit Inverting Buffer/Line Driver with 5V Tolerant Inputs/Outputs
74LCX16244,$0.5,Low Voltage 16-Bit Buffer/Line Driver with 5V Tolerant Inputs and Outputs
74LCX2244,$0.2324,Low Voltage Buffer/Line Driver with 5V Tolerant Inputs and Outputs with 26 Ohm Series Resistors in the Outputs
74LCX240,$0.2315,Low Voltage Octal Buffer/Line Driver with 5V Tolerant Inputs and Outputs
74LCX244,$0.1667,Low Voltage Buffer/Line Driver with 5V Tolerant Inputs and Outputs
74LCX540,$0.3832,Low Voltage Octal Buffer/Line Driver with 5V Tolerant Inputs and Outputs
74LCX541,$0.25,Low Voltage Octal Buffer/Line Driver with 5V Tolerant Inputs and Outputs
74LCX760,$0.2431,Low Voltage Buffer/Line Driver with 5V Tolerant Inputs and Open Drain Outputs
74LCXH162244,$0.5368,Low Voltage 16-Bit Buffer/Line Driver with Bushold and 26 Ohm Series Resistors in Outputs
74LCXH16244,$0.5531,Low Voltage 16-Bit Buffer/Line Driver with Bushold
74LCXZ16244,$0.6004,Low Voltage 16-Bit Buffer/Line Driver with 5V Tolerant Inputs and Outputs
74LVT162244,$0.6324,Low Voltage 16-Bit Buffer/Line Driver with 3-STATE Outputs and 25 Ohm Series Resistors in the Outputs
74LVT2244,$0.3188,Low Voltage Octal Buffer/Line Driver with 3-STATE Outputs
74LVT244,$0.3359,Low Voltage Octal Buffer/Line Driver with 3-STATE Outputs
74LVTH125,$0.1585,Low Voltage Quad Buffer with 3-STATE Outputs
74LVTH162244,$0.689,Low Voltage 16-Bit Buffer/Line Driver with 3-STATE Outputs and 25 Ohm Series Resistors in the Outputs
74LVTH2244,$0.354,Low Voltage Octal Buffer/Line Driver with 3-STATE Outputs
74LVTH240,$0.3248,Low Voltage Octal Buffer/Line Driver with 3-STATE Outputs
74LVTH244,$0.3092,Low Voltage Octal Buffer/Line Driver with 3-STATE Outputs
74LVX125,$0.1252,Low Voltage Quad Buffer with 3-STATE Outputs
74LVX244,$0.1841,Low Voltage Octal Buffer/Line Driver with 3-STATE Outputs
74LVX541,$0.2288,Low Voltage Octal Buffer/Line Driver with 3-STATE Outputs
NL27WZ16,$0.06,Dual Buffer
NL27WZ17,$0.04,Dual Non-Inverting Buffer withSchmitt Trigger Input
74AC240,$0.35,Octal Buffer/Line Driver with 3-STATE Outputs
74AC244,$0.2476,Octal Buffer/Line Driver with 3-STATE Outputs
74AC540,$0.3191,Octal Buffer/Line Driver with 3-STATE Outputs
74AC541,$0.2204,Octal Buffer/Line Driver with 3-STATE Outputs
74ACT240,$0.2891,Octal Buffer/Line Driver with 3-STATE Outputs
74ACT244,$0.2224,Octal Buffer/Line Driver with 3-STATE Outputs
74ACT541,$0.258,Octal Buffer/Line Driver with 3-STATE Outputs
74ALVC162244,$0.8756,Low Voltage 16-Bit Buffer/Line Driver with 3.6V Tolerant Inputs and Outputs and 26 Ohm Series Resistor in Outputs
74ALVC16244,$0.935,Low Voltage 1.8/2.5/3.3V 16-Bit Buffer
74LCX06,$0.1599,Low Voltage Hex Inverter/Buffer with Open Drain Outputs
74LCX07,$0.1171,Low Voltage Hex Buffer with Open Drain Outputs
74LCX125,$0.1052,Low Voltage Quad Buffer with 5V Tolerant Inputs and Outputs
74LCX126,$0.1524,Low Voltage Quad Buffer with 5V tolerant Inputs and Outputs
74LCX162244,$0.5368,Low Voltage 16-Bit Buffer/Line Driver with 26Ω Series Resistors in Outputs
74LCX16240,$0.5664,Low Voltage 16-Bit Inverting Buffer/Line Driver with 5V Tolerant Inputs/Outputs
74LCX16244,$0.5,Low Voltage 16-Bit Buffer/Line Driver with 5V Tolerant Inputs and Outputs
74LCX2244,$0.2324,Low Voltage Buffer/Line Driver with 5V Tolerant Inputs and Outputs with 26 Ohm Series Resistors in the Outputs
74LCX240,$0.2315,Low Voltage Octal Buffer/Line Driver with 5V Tolerant Inputs and Outputs
74LCX244,$0.1667,Low Voltage Buffer/Line Driver with 5V Tolerant Inputs and Outputs
74LCX540,$0.3832,Low Voltage Octal Buffer/Line Driver with 5V Tolerant Inputs and Outputs
74LCX541,$0.25,Low Voltage Octal Buffer/Line Driver with 5V Tolerant Inputs and Outputs
74LCX760,$0.2431,Low Voltage Buffer/Line Driver with 5V Tolerant Inputs and Open Drain Outputs
74LCXH162244,$0.5368,Low Voltage 16-Bit Buffer/Line Driver with Bushold and 26 Ohm Series Resistors in Outputs
74LCXH16244,$0.5531,Low Voltage 16-Bit Buffer/Line Driver with Bushold
74LCXZ16244,$0.6004,Low Voltage 16-Bit Buffer/Line Driver with 5V Tolerant Inputs and Outputs
74LVT162244,$0.6324,Low Voltage 16-Bit Buffer/Line Driver with 3-STATE Outputs and 25 Ohm Series Resistors in the Outputs
74LVT2244,$0.3188,Low Voltage Octal Buffer/Line Driver with 3-STATE Outputs
74LVT244,$0.3359,Low Voltage Octal Buffer/Line Driver with 3-STATE Outputs
74LVTH125,$0.1585,Low Voltage Quad Buffer with 3-STATE Outputs
74LVTH162244,$0.689,Low Voltage 16-Bit Buffer/Line Driver with 3-STATE Outputs and 25 Ohm Series Resistors in the Outputs
74LVTH2244,$0.354,Low Voltage Octal Buffer/Line Driver with 3-STATE Outputs
74LVTH240,$0.3248,Low Voltage Octal Buffer/Line Driver with 3-STATE Outputs
74LVTH244,$0.3092,Low Voltage Octal Buffer/Line Driver with 3-STATE Outputs
74LVX125,$0.1252,Low Voltage Quad Buffer with 3-STATE Outputs
74LVX244,$0.1841,Low Voltage Octal Buffer/Line Driver with 3-STATE Outputs
74LVX541,$0.2288,Low Voltage Octal Buffer/Line Driver with 3-STATE Outputs
NL27WZ16,$0.06,Dual Buffer
NL27WZ17,$0.04,Dual Non-Inverting Buffer withSchmitt Trigger Input
74AC240,$0.35,Octal Buffer/Line Driver with 3-STATE Outputs
74AC244,$0.2476,Octal Buffer/Line Driver with 3-STATE Outputs
74AC540,$0.3191,Octal Buffer/Line Driver with 3-STATE Outputs
74AC541,$0.2204,Octal Buffer/Line Driver with 3-STATE Outputs
74ACT240,$0.2891,Octal Buffer/Line Driver with 3-STATE Outputs
74ACT244,$0.2224,Octal Buffer/Line Driver with 3-STATE Outputs
74ACT541,$0.258,Octal Buffer/Line Driver with 3-STATE Outputs
74ALVC162244,$0.8756,Low Voltage 16-Bit Buffer/Line Driver with 3.6V Tolerant Inputs and Outputs and 26 Ohm Series Resistor in Outputs
74ALVC16244,$0.935,Low Voltage 1.8/2.5/3.3V 16-Bit Buffer
74LCX06,$0.1599,Low Voltage Hex Inverter/Buffer with Open Drain Outputs
74LCX07,$0.1171,Low Voltage Hex Buffer with Open Drain Outputs
74LCX125,$0.1052,Low Voltage Quad Buffer with 5V Tolerant Inputs and Outputs
74LCX126,$0.1524,Low Voltage Quad Buffer with 5V tolerant Inputs and Outputs
74LCX162244,$0.5368,Low Voltage 16-Bit Buffer/Line Driver with 26Ω Series Resistors in Outputs
74LCX16240,$0.5664,Low Voltage 16-Bit Inverting Buffer/Line Driver with 5V Tolerant Inputs/Outputs
74LCX16244,$0.5,Low Voltage 16-Bit Buffer/Line Driver with 5V Tolerant Inputs and Outputs
74LCX2244,$0.2324,Low Voltage Buffer/Line Driver with 5V Tolerant Inputs and Outputs with 26 Ohm Series Resistors in the Outputs
74LCX240,$0.2315,Low Voltage Octal Buffer/Line Driver with 5V Tolerant Inputs and Outputs
74LCX244,$0.1667,Low Voltage Buffer/Line Driver with 5V Tolerant Inputs and Outputs
74LCX540,$0.3832,Low Voltage Octal Buffer/Line Driver with 5V Tolerant Inputs and Outputs
74LCX541,$0.25,Low Voltage Octal Buffer/Line Driver with 5V Tolerant Inputs and Outputs
74LCX760,$0.2431,Low Voltage Buffer/Line Driver with 5V Tolerant Inputs and Open Drain Outputs
74LCXH162244,$0.5368,Low Voltage 16-Bit Buffer/Line Driver with Bushold and 26 Ohm Series Resistors in Outputs
74LCXH16244,$0.5531,Low Voltage 16-Bit Buffer/Line Driver with Bushold
74LCXZ16244,$0.6004,Low Voltage 16-Bit Buffer/Line Driver with 5V Tolerant Inputs and Outputs
74LVT162244,$0.6324,Low Voltage 16-Bit Buffer/Line Driver with 3-STATE Outputs and 25 Ohm Series Resistors in the Outputs
74LVT2244,$0.3188,Low Voltage Octal Buffer/Line Driver with 3-STATE Outputs
74LVT244,$0.3359,Low Voltage Octal Buffer/Line Driver with 3-STATE Outputs
74LVTH125,$0.1585,Low Voltage Quad Buffer with 3-STATE Outputs
74LVTH162244,$0.689,Low Voltage 16-Bit Buffer/Line Driver with 3-STATE Outputs and 25 Ohm Series Resistors in the Outputs
74LVTH2244,$0.354,Low Voltage Octal Buffer/Line Driver with 3-STATE Outputs
74LVTH240,$0.3248,Low Voltage Octal Buffer/Line Driver with 3-STATE Outputs
74LVTH244,$0.3092,Low Voltage Octal Buffer/Line Driver with 3-STATE Outputs
74LVX125,$0.1252,Low Voltage Quad Buffer with 3-STATE Outputs
74LVX244,$0.1841,Low Voltage Octal Buffer/Line Driver with 3-STATE Outputs
74LVX541,$0.2288,Low Voltage Octal Buffer/Line Driver with 3-STATE Outputs
74VCX162244,$0.9786,Low Voltage 16-Bit Buffer/Line Driver with 3.6V Tolerant Inputs and Outputs and 26 Ohm Series Resistor in Outputs
74VCX16244,$0.66,"Low-Voltage 1.8/2.5/3.3 V 16-Bit Buffer With 3.6 V-Tolerant Inputs and Outputs (3-State, Non-Inverting)"
74VHC125,$0.12,Quad Buffer with 3-STATE Outputs
